,user_id,item_id,term,length_of_stay_bucket,rate_plan,room_segment,n_people_bucket,weekend_stay
61,69,33,OffSeason,[2-3],Standard,[0-160],[2-2],True
62,70,39,OffSeason,[2-3],Standard,[260-360],[5-inf],True
63,71,22,OffSeason,[2-3],Standard,[0-160],[3-4],True
64,72,22,OffSeason,[2-3],Standard,[0-160],[3-4],True
65,73,23,OffSeason,[4-7],Standard,[0-160],[2-2],True
66,74,33,OffSeason,[2-3],Standard,[0-160],[2-2],True
67,75,36,OffSeason,[4-7],Standard,[0-160],[3-4],True
68,76,23,OffSeason,[4-7],Standard,[0-160],[2-2],True
69,77,22,OffSeason,[2-3],Standard,[0-160],[3-4],True
70,78,23,OffSeason,[4-7],Standard,[0-160],[2-2],True
71,79,40,OffSeason,[2-3],Standard,[0-160],[1-1],False
72,80,23,OffSeason,[4-7],Standard,[0-160],[2-2],True
73,81,41,OffSeason,[4-7],Standard,[0-160],[1-1],False
74,81,41,OffSeason,[4-7],Standard,[0-160],[1-1],False
75,81,41,OffSeason,[4-7],Standard,[0-160],[1-1],False
76,82,23,OffSeason,[4-7],Standard,[0-160],[2-2],True
77,83,23,OffSeason,[4-7],Standard,[0-160],[2-2],True
78,84,22,OffSeason,[2-3],Standard,[0-160],[3-4],True
79,85,24,OffSeason,[2-3],Standard,[160-260],[3-4],True
80,86,35,OffSeason,[2-3],Standard,[160-260],[2-2],True
81,86,24,OffSeason,[2-3],Standard,[160-260],[3-4],True
82,87,33,OffSeason,[2-3],Standard,[0-160],[2-2],True
83,1,33,OffSeason,[2-3],Standard,[0-160],[2-2],True
84,1,33,OffSeason,[2-3],Standard,[0-160],[2-2],True
85,89,33,OffSeason,[2-3],Standard,[0-160],[2-2],True
86,90,33,OffSeason,[2-3],Standard,[0-160],[2-2],True
87,91,6,OffSeason,[2-3],Standard,[160-260],[5-inf],True
88,92,23,OffSeason,[4-7],Standard,[0-160],[2-2],True
89,93,22,OffSeason,[2-3],Standard,[0-160],[3-4],True
90,94,33,OffSeason,[2-3],Standard,[0-160],[2-2],True
91,95,24,OffSeason,[2-3],Standard,[160-260],[3-4],True
92,97,36,OffSeason,[4-7],Standard,[0-160],[3-4],True
93,98,31,OffSeason,[8-inf],Standard,[0-160],[2-2],True
94,99,42,OffSeason,[4-7],Standard,[160-260],[3-4],True
95,100,23,OffSeason,[4-7],Standard,[0-160],[2-2],True
96,101,6,OffSeason,[2-3],Standard,[160-260],[5-inf],True
97,102,33,OffSeason,[2-3],Standard,[0-160],[2-2],True
98,103,23,OffSeason,[4-7],Standard,[0-160],[2-2],True
99,104,22,OffSeason,[2-3],Standard,[0-160],[3-4],True
100,105,33,OffSeason,[2-3],Standard,[0-160],[2-2],True
101,106,24,OffSeason,[2-3],Standard,[160-260],[3-4],True
102,107,22,OffSeason,[2-3],Standard,[0-160],[3-4],True
103,108,24,OffSeason,[2-3],Standard,[160-260],[3-4],True
104,109,43,OffSeason,[2-3],Standard,[0-160],[1-1],True
105,110,32,OffSeason,[2-3],Standard,[0-160],[5-inf],True
106,110,32,OffSeason,[2-3],Standard,[0-160],[5-inf],True
107,110,32,OffSeason,[2-3],Standard,[0-160],[5-inf],True
108,111,44,OffSeason,[4-7],Standard,[0-160],[1-1],True
109,112,17,OffSeason,[2-3],Standard,[160-260],[1-1],True
110,113,2,WinterVacation,[2-3],Standard,[160-260],[2-2],False
111,119,2,WinterVacation,[2-3],Standard,[160-260],[2-2],False
112,121,45,WinterVacation,[4-7],Standard,[0-160],[3-4],False
113,126,46,WinterVacation,[4-7],Standard,[160-260],[3-4],False
114,128,47,WinterVacation,[2-3],Standard,[0-160],[2-2],True
115,134,1,WinterVacation,[2-3],Standard,[160-260],[3-4],True
116,146,47,WinterVacation,[2-3],Standard,[0-160],[2-2],True
117,149,48,WinterVacation,[2-3],Standard,[0-160],[3-4],True
118,150,49,WinterVacation,[4-7],Standard,[0-160],[1-1],True
119,156,1,WinterVacation,[2-3],Standard,[160-260],[3-4],True
120,173,50,WinterVacation,[0-1],Standard,[0-160],[1-1],False
121,225,1,WinterVacation,[2-3],Standard,[160-260],[3-4],True
122,313,1,WinterVacation,[2-3],Standard,[160-260],[3-4],True
123,356,2,WinterVacation,[2-3],Standard,[160-260],[2-2],False
124,412,1,WinterVacation,[2-3],Standard,[160-260],[3-4],True
125,442,51,WinterVacation,[8-inf],Standard,[0-160],[3-4],True
126,471,52,WinterVacation,[0-1],Standard,[160-260],,False
127,472,49,WinterVacation,[4-7],Standard,[0-160],[1-1],True
128,473,53,Easter,[2-3],Nonref,[0-160],[3-4],True
129,474,23,OffSeason,[4-7],Standard,[0-160],[2-2],True
130,475,54,LowSeason,[4-7],Standard,[260-360],[3-4],True
131,476,55,HighSeason,[4-7],Standard,[260-360],[5-inf],False
132,477,56,OffSeason,[2-3],Nonref,[0-160],[3-4],True
133,479,57,HighSeason,[2-3],Standard,[260-360],[3-4],False
134,480,58,OffSeason,[2-3],Nonref,[0-160],[2-2],False
135,481,59,OffSeason,[0-1],Standard,[360-500],[2-2],True
136,482,56,OffSeason,[2-3],Nonref,[0-160],[3-4],True
137,483,6,OffSeason,[2-3],Standard,[160-260],[5-inf],True
138,485,36,OffSeason,[4-7],Standard,[0-160],[3-4],True
139,486,22,OffSeason,[2-3],Standard,[0-160],[3-4],True
140,487,60,OffSeason,[2-3],Nonref,[0-160],[2-2],True
141,488,33,OffSeason,[2-3],Standard,[0-160],[2-2],True
142,489,60,OffSeason,[2-3],Nonref,[0-160],[2-2],True
143,490,61,OffSeason,[4-7],Nonref,[0-160],[2-2],False
144,491,62,OffSeason,[4-7],Standard,[160-260],[2-2],True
145,492,24,OffSeason,[2-3],Standard,[160-260],[3-4],True
146,493,63,OffSeason,[2-3],Nonref,[260-360],[3-4],False
147,494,60,OffSeason,[2-3],Nonref,[0-160],[2-2],True
148,495,64,OffSeason,[0-1],Nonref,[160-260],[5-inf],False
149,496,65,Easter,[2-3],Standard,[160-260],[5-inf],True
150,497,42,OffSeason,[4-7],Standard,[160-260],[3-4],True
151,498,66,WinterVacation,[2-3],Nonref,[0-160],[2-2],True
152,499,67,OffSeason,[4-7],Nonref,[0-160],[2-2],True
153,501,67,OffSeason,[4-7],Nonref,[0-160],[2-2],True
154,502,68,OffSeason,[2-3],Nonref,[500-900],[3-4],True
155,503,60,OffSeason,[2-3],Nonref,[0-160],[2-2],True
156,504,69,OffSeason,[2-3],Nonref,[160-260],[5-inf],True
157,507,70,OffSeason,[8-inf],Standard,[160-260],[2-2],True
158,508,71,HighSeason,[4-7],Standard,[260-360],[2-2],False
159,509,72,OffSeason,[4-7],Nonref,[160-260],[5-inf],True
160,510,33,OffSeason,[2-3],Standard,[0-160],[2-2],True
161,511,73,MayLongWeekend,[4-7],Nonref,[260-360],[2-2],True
162,512,4,WinterVacation,[4-7],Standard,[0-160],[2-2],True
163,514,60,OffSeason,[2-3],Nonref,[0-160],[2-2],True
164,515,74,HighSeason,[4-7],Standard,[360-500],[3-4],True
165,516,60,OffSeason,[2-3],Nonref,[0-160],[2-2],True
166,517,22,OffSeason,[2-3],Standard,[0-160],[3-4],True
167,518,60,OffSeason,[2-3],Nonref,[0-160],[2-2],True
168,520,24,OffSeason,[2-3],Standard,[160-260],[3-4],True
169,521,56,OffSeason,[2-3],Nonref,[0-160],[3-4],True
170,522,75,OffSeason,[4-7],Nonref,[160-260],[2-2],True
171,523,56,OffSeason,[2-3],Nonref,[0-160],[3-4],True
172,524,5,Easter,[4-7],Standard,[160-260],[5-inf],True
173,525,6,OffSeason,[2-3],Standard,[160-260],[5-inf],True
174,526,76,OffSeason,[2-3],Standard,[160-260],[5-inf],False
175,528,77,Easter,[2-3],Standard,[160-260],[3-4],True
176,529,69,OffSeason,[2-3],Nonref,[160-260],[5-inf],True
177,530,60,OffSeason,[2-3],Nonref,[0-160],[2-2],True
178,531,78,HighSeason,[2-3],Standard,[360-500],[3-4],True
179,532,75,OffSeason,[4-7],Nonref,[160-260],[2-2],True
180,533,22,OffSeason,[2-3],Standard,[0-160],[3-4],True
181,534,33,OffSeason,[2-3],Standard,[0-160],[2-2],True
182,535,54,LowSeason,[4-7],Standard,[260-360],[3-4],True
183,536,56,OffSeason,[2-3],Nonref,[0-160],[3-4],True
184,537,38,OffSeason,[2-3],Standard,[0-160],[3-4],False
185,538,79,Easter,[2-3],Standard,[160-260],[2-2],True
186,539,26,Easter,[2-3],Standard,[0-160],[3-4],True
187,540,60,OffSeason,[2-3],Nonref,[0-160],[2-2],True
188,541,80,HighSeason,[8-inf],Nonref,[260-360],[3-4],True
189,542,67,OffSeason,[4-7],Nonref,[0-160],[2-2],True
190,543,54,LowSeason,[4-7],Standard,[260-360],[3-4],True
191,544,56,OffSeason,[2-3],Nonref,[0-160],[3-4],True
192,545,81,OffSeason,[4-7],Nonref,[0-160],[3-4],True
193,546,75,OffSeason,[4-7],Nonref,[160-260],[2-2],True
194,547,82,MayLongWeekend,[2-3],Nonref,[160-260],[2-2],True
195,548,60,OffSeason,[2-3],Nonref,[0-160],[2-2],True
196,549,33,OffSeason,[2-3],Standard,[0-160],[2-2],True
197,550,17,OffSeason,[2-3],Standard,[160-260],[1-1],True
198,551,38,OffSeason,[2-3],Standard,[0-160],[3-4],False
199,552,61,OffSeason,[4-7],Nonref,[0-160],[2-2],False
200,553,83,HighSeason,[2-3],Nonref,[360-500],[3-4],True
201,554,84,OffSeason,[4-7],Standard,[360-500],[3-4],True
202,555,60,OffSeason,[2-3],Nonref,[0-160],[2-2],True
203,556,85,HighSeason,[2-3],Standard,[260-360],[2-2],True
204,558,86,HighSeason,[4-7],Nonref,[160-260],[2-2],True
205,559,87,HighSeason,[2-3],Nonref,[500-900],[5-inf],True
206,560,88,LowSeason,[4-7],Standard,[360-500],[3-4],True
207,561,62,OffSeason,[4-7],Standard,[160-260],[2-2],True
208,563,69,OffSeason,[2-3],Nonref,[160-260],[5-inf],True
209,564,36,OffSeason,[4-7],Standard,[0-160],[3-4],True
210,565,22,OffSeason,[2-3],Standard,[0-160],[3-4],True
211,567,89,HighSeason,[2-3],Nonref,[360-500],[3-4],False
212,568,58,OffSeason,[2-3],Nonref,[0-160],[2-2],False
213,569,90,OffSeason,[0-1],Nonref,[260-360],[5-inf],True
214,570,60,OffSeason,[2-3],Nonref,[0-160],[2-2],True
215,571,91,HighSeason,[4-7],Standard,[260-360],[2-2],True
216,572,92,LowSeason,[4-7],Standard,[260-360],[2-2],True
217,573,67,OffSeason,[4-7],Nonref,[0-160],[2-2],True
218,574,56,OffSeason,[2-3],Nonref,[0-160],[3-4],True
219,575,93,OffSeason,[2-3],Nonref,[160-260],[3-4],True
220,576,36,OffSeason,[4-7],Standard,[0-160],[3-4],True
221,577,33,OffSeason,[2-3],Standard,[0-160],[2-2],True
222,578,81,OffSeason,[4-7],Nonref,[0-160],[3-4],True
223,579,94,HighSeason,[4-7],Nonref,[260-360],[2-2],True
224,580,6,OffSeason,[2-3],Standard,[160-260],[5-inf],True
225,581,95,LowSeason,[2-3],Nonref,[500-900],[5-inf],False
226,582,21,OffSeason,[2-3],Standard,[0-160],[2-2],False
227,583,93,OffSeason,[2-3],Nonref,[160-260],[3-4],True
228,584,96,LowSeason,[4-7],Nonref,[360-500],[3-4],True
229,585,44,OffSeason,[4-7],Standard,[0-160],[1-1],True
230,587,61,OffSeason,[4-7],Nonref,[0-160],[2-2],False
231,588,6,OffSeason,[2-3],Standard,[160-260],[5-inf],True
232,589,27,Easter,[4-7],Standard,[160-260],[3-4],True
233,590,97,HighSeason,[2-3],Nonref,[260-360],[2-2],True
234,571,91,HighSeason,[4-7],Standard,[260-360],[2-2],True
235,591,22,OffSeason,[2-3],Standard,[0-160],[3-4],True
236,592,56,OffSeason,[2-3],Nonref,[0-160],[3-4],True
237,593,72,OffSeason,[4-7],Nonref,[160-260],[5-inf],True
238,594,14,OffSeason,[4-7],Standard,[260-360],[3-4],True
239,595,9,HighSeason,[2-3],Standard,[260-360],[3-4],True
240,596,98,OffSeason,[8-inf],Standard,[260-360],[3-4],True
241,597,56,OffSeason,[2-3],Nonref,[0-160],[3-4],True
242,598,99,OffSeason,[8-inf],Nonref,[160-260],[2-2],True
243,599,6,OffSeason,[2-3],Standard,[160-260],[5-inf],True
244,600,69,OffSeason,[2-3],Nonref,[160-260],[5-inf],True
245,601,100,OffSeason,[4-7],Nonref,[160-260],[1-1],True
246,602,69,OffSeason,[2-3],Nonref,[160-260],[5-inf],True
247,603,35,OffSeason,[2-3],Standard,[160-260],[2-2],True
248,604,22,OffSeason,[2-3],Standard,[0-160],[3-4],True
249,605,85,HighSeason,[2-3],Standard,[260-360],[2-2],True
250,607,101,HighSeason,[4-7],Standard,[360-500],[5-inf],True
251,608,102,HighSeason,[4-7],Nonref,[360-500],[5-inf],True
252,519,42,OffSeason,[4-7],Standard,[160-260],[3-4],True
253,609,22,OffSeason,[2-3],Standard,[0-160],[3-4],True
254,610,103,OffSeason,[4-7],Nonref,[0-160],[5-inf],False
255,611,60,OffSeason,[2-3],Nonref,[0-160],[2-2],True
256,612,104,LowSeason,[4-7],Standard,[500-900],[5-inf],True
257,614,6,OffSeason,[2-3],Standard,[160-260],[5-inf],True
258,617,105,HighSeason,[4-7],Standard,[500-900],[5-inf],True
259,619,60,OffSeason,[2-3],Nonref,[0-160],[2-2],True
260,621,106,LowSeason,[4-7],Nonref,[360-500],[5-inf],True
261,622,22,OffSeason,[2-3],Standard,[0-160],[3-4],True
262,624,60,OffSeason,[2-3],Nonref,[0-160],[2-2],True
263,625,53,Easter,[2-3],Nonref,[0-160],[3-4],True
264,626,107,Easter,[4-7],Nonref,[0-160],[3-4],False
265,627,22,OffSeason,[2-3],Standard,[0-160],[3-4],True
266,628,108,OffSeason,[4-7],Nonref,[360-500],[5-inf],False
267,629,6,OffSeason,[2-3],Standard,[160-260],[5-inf],True
268,630,95,LowSeason,[2-3],Nonref,[500-900],[5-inf],False
269,631,93,OffSeason,[2-3],Nonref,[160-260],[3-4],True
270,632,109,MayLongWeekend,[4-7],Nonref,[500-900],[5-inf],True
271,633,110,OffSeason,[8-inf],Standard,[0-160],[1-1],True
272,634,24,OffSeason,[2-3],Standard,[160-260],[3-4],True
273,635,24,OffSeason,[2-3],Standard,[160-260],[3-4],True
274,636,24,OffSeason,[2-3],Standard,[160-260],[3-4],True
275,637,6,OffSeason,[2-3],Standard,[160-260],[5-inf],True
276,638,111,Easter,[2-3],Nonref,[360-500],[5-inf],True
277,639,6,OffSeason,[2-3],Standard,[160-260],[5-inf],True
278,640,6,OffSeason,[2-3],Standard,[160-260],[5-inf],True
279,641,112,OffSeason,[2-3],Nonref,[160-260],[5-inf],False
280,642,113,OffSeason,[4-7],Nonref,[360-500],[3-4],True
281,643,114,OffSeason,[4-7],Nonref,[260-360],[5-inf],True
282,644,39,OffSeason,[2-3],Standard,[260-360],[5-inf],True
283,646,93,OffSeason,[2-3],Nonref,[160-260],[3-4],True
284,648,115,Easter,[2-3],Standard,[260-360],[3-4],False
285,649,39,OffSeason,[2-3],Standard,[260-360],[5-inf],True
286,650,69,OffSeason,[2-3],Nonref,[160-260],[5-inf],True
287,651,39,OffSeason,[2-3],Standard,[260-360],[5-inf],True
288,652,116,WinterVacation,[2-3],Standard,[160-260],[3-4],False
289,653,39,OffSeason,[2-3],Standard,[260-360],[5-inf],True
290,654,117,OffSeason,[2-3],Standard,[260-360],[3-4],True
291,655,56,OffSeason,[2-3],Nonref,[0-160],[3-4],True
292,656,22,OffSeason,[2-3],Standard,[0-160],[3-4],True
293,657,36,OffSeason,[4-7],Standard,[0-160],[3-4],True
294,658,29,OffSeason,[4-7],Standard,[0-160],[2-2],False
295,659,23,OffSeason,[4-7],Standard,[0-160],[2-2],True
296,660,22,OffSeason,[2-3],Standard,[0-160],[3-4],True
297,661,77,Easter,[2-3],Standard,[160-260],[3-4],True
298,662,60,OffSeason,[2-3],Nonref,[0-160],[2-2],True
299,665,118,Easter,[0-1],Nonref,[0-160],[2-2],False
300,669,24,OffSeason,[2-3],Standard,[160-260],[3-4],True
301,670,66,WinterVacation,[2-3],Nonref,[0-160],[2-2],True
302,671,56,OffSeason,[2-3],Nonref,[0-160],[3-4],True
303,672,60,OffSeason,[2-3],Nonref,[0-160],[2-2],True
304,673,119,WinterVacation,[2-3],Nonref,[160-260],[3-4],True
305,674,120,WinterVacation,[2-3],Standard,[0-160],[1-1],False
306,675,121,LowSeason,[4-7],Nonref,[260-360],[2-2],True
307,676,4,WinterVacation,[4-7],Standard,[0-160],[2-2],True
308,677,93,OffSeason,[2-3],Nonref,[160-260],[3-4],True
309,678,122,Easter,[2-3],Standard,[160-260],[1-1],False
310,679,93,OffSeason,[2-3],Nonref,[160-260],[3-4],True
311,680,123,OffSeason,[4-7],Nonref,[0-160],[3-4],False
312,681,56,OffSeason,[2-3],Nonref,[0-160],[3-4],True
313,682,22,OffSeason,[2-3],Standard,[0-160],[3-4],True
314,683,124,WinterVacation,[2-3],Standard,[0-160],[2-2],False
315,684,36,OffSeason,[4-7],Standard,[0-160],[3-4],True
316,685,125,OffSeason,[0-1],Nonref,[160-260],[5-inf],True
317,686,21,OffSeason,[2-3],Standard,[0-160],[2-2],False
318,1,66,WinterVacation,[2-3],Nonref,[0-160],[2-2],True
319,687,126,HighSeason,[4-7],Standard,[500-900],[2-2],True
320,688,69,OffSeason,[2-3],Nonref,[160-260],[5-inf],True
321,690,127,WinterVacation,[4-7],Standard,[160-260],[1-1],True
322,691,128,WinterVacation,[2-3],Standard,[160-260],[1-1],False
323,692,56,OffSeason,[2-3],Nonref,[0-160],[3-4],True
324,693,81,OffSeason,[4-7],Nonref,[0-160],[3-4],True
325,694,66,WinterVacation,[2-3],Nonref,[0-160],[2-2],True
326,696,54,LowSeason,[4-7],Standard,[260-360],[3-4],True
327,699,56,OffSeason,[2-3],Nonref,[0-160],[3-4],True
328,700,60,OffSeason,[2-3],Nonref,[0-160],[2-2],True
329,701,129,OffSeason,[2-3],Nonref,[0-160],[3-4],False
330,702,60,OffSeason,[2-3],Nonref,[0-160],[2-2],True
331,704,130,WinterVacation,[0-1],Nonref,[0-160],[1-1],False
332,705,131,HighSeason,[8-inf],Standard,[0-160],[2-2],True
333,706,120,WinterVacation,[2-3],Standard,[0-160],[1-1],False
334,707,33,OffSeason,[2-3],Standard,[0-160],[2-2],True
335,708,132,WinterVacation,[0-1],Standard,[160-260],[1-1],False
336,709,60,OffSeason,[2-3],Nonref,[0-160],[2-2],True
337,710,133,HighSeason,[2-3],Standard,[160-260],[2-2],False
338,711,134,MayLongWeekend,[4-7],Standard,[360-500],[3-4],True
339,712,135,WinterVacation,[4-7],Nonref,[0-160],[3-4],True
340,713,33,OffSeason,[2-3],Standard,[0-160],[2-2],True
341,714,136,MayLongWeekend,[4-7],Nonref,[160-260],[2-2],True
342,715,38,OffSeason,[2-3],Standard,[0-160],[3-4],False
343,716,56,OffSeason,[2-3],Nonref,[0-160],[3-4],True
344,717,33,OffSeason,[2-3],Standard,[0-160],[2-2],True
345,718,137,OffSeason,[2-3],Nonref,[0-160],[5-inf],True
346,719,31,OffSeason,[8-inf],Standard,[0-160],[2-2],True
347,721,138,MayLongWeekend,[2-3],Standard,[160-260],[3-4],True
348,722,134,MayLongWeekend,[4-7],Standard,[360-500],[3-4],True
349,723,56,OffSeason,[2-3],Nonref,[0-160],[3-4],True
350,727,56,OffSeason,[2-3],Nonref,[0-160],[3-4],True
351,728,139,MayLongWeekend,[4-7],Standard,[160-260],[3-4],True
352,729,140,OffSeason,[2-3],Standard,[360-500],[3-4],True
353,731,69,OffSeason,[2-3],Nonref,[160-260],[5-inf],True
354,731,69,OffSeason,[2-3],Nonref,[160-260],[5-inf],True
355,732,60,OffSeason,[2-3],Nonref,[0-160],[2-2],True
356,733,138,MayLongWeekend,[2-3],Standard,[160-260],[3-4],True
357,734,141,WinterVacation,[0-1],Standard,[160-260],[3-4],False
358,735,22,OffSeason,[2-3],Standard,[0-160],[3-4],True
359,736,69,OffSeason,[2-3],Nonref,[160-260],[5-inf],True
360,737,94,HighSeason,[4-7],Nonref,[260-360],[2-2],True
361,740,84,OffSeason,[4-7],Standard,[360-500],[3-4],True
362,741,60,OffSeason,[2-3],Nonref,[0-160],[2-2],True
363,742,22,OffSeason,[2-3],Standard,[0-160],[3-4],True
364,743,23,OffSeason,[4-7],Standard,[0-160],[2-2],True
365,744,82,MayLongWeekend,[2-3],Nonref,[160-260],[2-2],True
366,745,56,OffSeason,[2-3],Nonref,[0-160],[3-4],True
367,746,142,HighSeason,[4-7],Nonref,[0-160],[2-2],True
368,747,143,MayLongWeekend,[2-3],Nonref,[160-260],[3-4],True
369,748,144,OffSeason,[2-3],Standard,[260-360],[2-2],True
370,749,144,OffSeason,[2-3],Standard,[260-360],[2-2],True
371,750,145,MayLongWeekend,[2-3],Nonref,[0-160],[2-2],True
372,751,56,OffSeason,[2-3],Nonref,[0-160],[3-4],True
373,752,146,Easter,[4-7],Standard,[160-260],[1-1],True
374,753,22,OffSeason,[2-3],Standard,[0-160],[3-4],True
375,754,33,OffSeason,[2-3],Standard,[0-160],[2-2],True
376,755,22,OffSeason,[2-3],Standard,[0-160],[3-4],True
377,756,60,OffSeason,[2-3],Nonref,[0-160],[2-2],True
378,757,56,OffSeason,[2-3],Nonref,[0-160],[3-4],True
379,758,137,OffSeason,[2-3],Nonref,[0-160],[5-inf],True
380,762,6,OffSeason,[2-3],Standard,[160-260],[5-inf],True
381,763,56,OffSeason,[2-3],Nonref,[0-160],[3-4],True
382,764,147,WinterVacation,[0-1],Standard,[0-160],[2-2],False
383,765,60,OffSeason,[2-3],Nonref,[0-160],[2-2],True
384,766,148,WinterVacation,[2-3],Nonref,[0-160],[3-4],False
385,767,56,OffSeason,[2-3],Nonref,[0-160],[3-4],True
386,769,132,WinterVacation,[0-1],Standard,[160-260],[1-1],False
387,706,110,OffSeason,[8-inf],Standard,[0-160],[1-1],True
388,770,22,OffSeason,[2-3],Standard,[0-160],[3-4],True
389,772,33,OffSeason,[2-3],Standard,[0-160],[2-2],True
390,773,149,MayLongWeekend,[4-7],Nonref,[160-260],[3-4],True
391,774,36,OffSeason,[4-7],Standard,[0-160],[3-4],True
392,775,33,OffSeason,[2-3],Standard,[0-160],[2-2],True
393,776,150,OffSeason,[8-inf],Nonref,[0-160],[2-2],True
394,777,56,OffSeason,[2-3],Nonref,[0-160],[3-4],True
395,778,56,OffSeason,[2-3],Nonref,[0-160],[3-4],True
396,779,22,OffSeason,[2-3],Standard,[0-160],[3-4],True
397,780,139,MayLongWeekend,[4-7],Standard,[160-260],[3-4],True
398,781,151,OffSeason,[2-3],Nonref,[160-260],[2-2],True
399,782,69,OffSeason,[2-3],Nonref,[160-260],[5-inf],True
400,783,152,OffSeason,[2-3],Standard,[260-360],[3-4],False
401,784,69,OffSeason,[2-3],Nonref,[160-260],[5-inf],True
402,785,6,OffSeason,[2-3],Standard,[160-260],[5-inf],True
403,786,153,OffSeason,[4-7],Standard,[0-160],[5-inf],True
404,787,60,OffSeason,[2-3],Nonref,[0-160],[2-2],True
405,789,33,OffSeason,[2-3],Standard,[0-160],[2-2],True
406,790,60,OffSeason,[2-3],Nonref,[0-160],[2-2],True
407,791,17,OffSeason,[2-3],Standard,[160-260],[1-1],True
408,792,22,OffSeason,[2-3],Standard,[0-160],[3-4],True
409,793,110,OffSeason,[8-inf],Standard,[0-160],[1-1],True
410,794,21,OffSeason,[2-3],Standard,[0-160],[2-2],False
411,795,36,OffSeason,[4-7],Standard,[0-160],[3-4],True
